# NED name
# SDSS ID in catalog
# RA
# DEC
# CO : Observed at IRAM/30m =O,  Literature=L not observed=N, Literature but reobserved OL
# Detected (Y=1/N=0 unclear=2)]
# HI (Y=1/N=0)
#
# attention certains (rares) ID_SDSS du fichier nasa ne sont pas exactement les ID_SDSS que donne NED
# HI Jy km/s
# H2 mass/Msun
# Reference for H2
                                             RA          DEC        v       CO?   detect HI?  HIJykm/s H2mass
# Filament 1 & Group 5354
       UGC5577    J102004.86+383713.1   10 20 03.64   38 36 56.00   2007     N   xxx     1     4.2     xxx
       UGC4551    J084405.89+494737.9   08 44 05.92   49 47 37.90   1728     L     0     N     xxx   <7.62

#Virgo III centre
   CGCG021-013    J150805.61+013905.7   15 08 05.85   01 39 05.50   1837     O     1     N     xxx     xxx
       NGC5846    J150629.16+013620.9   15 06 29.28   01 36 20.20   1712     L     0     1     2.5    <7.7
   CGCG021-058    J151534.60+021453.8   15 15 34.61   02 14 53.80   1918     L     0     N     xxx   <7.73
       NGC5813    J150111.23+014207.1   15 01 11.23   01 42 07.10   1956     L     0     N     xxx   <7.69
       NGC5854    J150747.69+023406.9   15 07 47.70   02 34 07.10   1663     L     0     1     0.3    <7.6
       NGC5869     xxx                  15 09 49.44   00 28 12.10   2085     L     0     N     xxx   <7.63
        IC1066    J145302.85+031745.7   14 53 02.80   03 17 46.00   1577     O     1     1     8.3     xxx
        IC1067    J145305.24+031954.4   14 53 05.25   03 19 54.40   1577     O     1     1    15.8     xxx
       NGC5831    J150407.20+011315.0   15 04 07.00   01 13 11.70   1656     L     0     N     xxx   <7.85
       NGC5864    J151016.39+015607.0   15 10 16.55   01 56 03.40   1885     L     0     1     1.0   <7.74

#Virgo III WESTR extension 
       UGC09348   J143228.50+001738.4   14 32 28.51   00 17 38.40   1672     O     1     1     5.5     xxx
       NGC5740    J144424.44+014047.2   14 44 24.45   01 40 47.20   1572     O     1     1    35.8     xxx
       NGC5566    J142019.89+035601.5   14 20 19.89   03 56 01.50   1507     O     1     1    18.7     xxx
       NGC5636    J142939.02+031558.6   14 29 39.02   03 15 58.70   1745     N   xxx     1     1.3     xxx
